万	萬
惭	慚
惮	憚
惯	慣
愤	憤
愿	願
慑	懾
懑	懣
懒	懶
戏	戲
战	戰
戬	戩
户	戶
扑	撲
托	託
执	執
扩	擴
扪	捫
扫	掃
扬	揚
扰	擾
抚	撫
抛	拋
抟	摶
抠	摳
抡	掄
抢	搶
护	護
报	報
担	擔
拟	擬
拢	攏
拣	揀
拥	擁
拦	攔
拧	擰
拨	撥
择	擇
挂	掛
挚	摯
挛	攣
挝	撾
挞	撻
挟	挾
挠	撓
挡	擋
挣	掙
挤	擠
挥	揮
捞	撈
损	損
捡	撿
换	換
捣	搗
据	據
掳	擄
掴	摑
掷	擲
掸	撣
掺	摻
揽	攬
搀	攙
搁	擱
搂	摟
搅	攪
携	攜
摄	攝
摆	擺
摇	搖
摈	擯
摊	攤
撑	撐
撵	攆
撷	擷
撸	擼
擞	擻
擡	抬
攒	攢
敌	敵
敛	斂
数	數
斋	齋
斓	斕
斩	斬
断	斷
无	無
旧	舊
时	時
旷	曠
昙	曇
昵	暱
昼	晝
显	顯
晋	晉
晒	曬
晓	曉
晔	曄
晕	暈
晖	暉
暂	暫
暧	曖
术	術
朴	樸
机	機
杀	殺
杂	雜
权	權
杠	槓
条	條
来	來
杨	楊
杰	傑
极	極
构	構
枢	樞
枣	棗
枪	槍
枫	楓
枭	梟
柜	櫃
柠	檸
栀	梔
栅	柵
标	標
栈	棧
栉	櫛
栋	棟
栎	櫟
栏	欄
树	樹
栖	棲
样	樣
栾	欒
桠	椏
桡	橈
桢	楨
档	檔
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
梦	夢
检	檢
棂	欞
棱	稜
椁	槨
椭	橢
楼	樓
榄	欖
榈	櫚
榉	櫸
槛	檻
槟	檳
横	橫
樯	檣
樱	櫻
橱	櫥
橹	櫓
橼	櫞
檐	簷
欢	歡
欧	歐
歼	殲
殁	歿
殇	殤
残	殘
殒	殞
殓	殮
殡	殯
殴	毆
毁	毀
毂	轂
毕	畢
毙	斃
毡	氈
气	氣
氢	氫
氲	氳
汇	匯
汉	漢
污	汙
汤	湯
汹	洶
沟	溝
没	沒
沣	灃
沥	瀝
沦	淪
沧	滄
沪	滬
泄	洩
泞	濘
泪	淚
泷	瀧
泸	瀘
泻	瀉
泼	潑
泽	澤
泾	涇
洁	潔
洒	灑
洼	窪
浃	浹
浅	淺
浆	漿
浇	澆
浊	濁
测	測
济	濟
浏	瀏
浑	渾
浒	滸
浓	濃
浔	潯
涂	塗
涌	湧
涛	濤
涝	澇
涞	淶
涟	漣
涠	潿
涡	渦
涣	渙
涤	滌
润	潤
涧	澗
涨	漲
涩	澀
淀	澱
渊	淵
渍	漬
渎	瀆
渐	漸
渔	漁
渗	滲
温	溫
湾	灣
湿	溼
溃	潰
溅	濺
滚	滾
滞	滯
滟	灩
满	滿
滢	瀅
滤	濾
滥	濫
滦	灤
滨	濱
滩	灘
潆	瀠
潇	瀟
潋	瀲
潍	濰
潜	潛
潴	瀦
澜	瀾
濑	瀨
濒	瀕
灏	灝
灭	滅
灯	燈
灵	靈
灾	災
灿	燦
炀	煬
炉	爐
炖	燉
炜	煒
点	點
炼	煉
炽	熾
烁	爍
烂	爛
烃	烴
烛	燭
烟	煙
烦	煩
烧	燒
烨	燁
烩	燴
烫	燙
烬	燼
热	熱
焕	煥
焖	燜
焘	燾
熏	燻
爱	愛
爲	為
爷	爺
牍	牘
牦	犛
牵	牽
牺	犧
犊	犢
状	狀
犷	獷
犸	獁
犹	猶
狈	狽
狞	獰
独	獨
狭	狹
狮	獅
狰	猙
狱	獄
猎	獵
猕	獼
猪	豬
猫	貓
猬	蝟
献	獻
獭	獺
玑	璣
玛	瑪
玮	瑋
环	環
现	現
玺	璽
珐	琺
珑	瓏
珲	琿
琏	璉
琐	瑣
琼	瓊
瑶	瑤
璎	瓔
瓒	瓚
瓮	甕
瓯	甌
电	電
画	畫
畅	暢
畴	疇
疖	癤
疗	療
疟	瘧
疡	瘍
疮	瘡
疯	瘋
痈	癰
痉	痙
痒	癢
痨	癆
痪	瘓
痫	癇
痹	痺
瘘	瘻
瘪	癟
瘫	癱
瘾	癮
癞	癩
癡	痴
癣	癬
癫	癲
皑	皚
皱	皺
盏	盞
盐	鹽
监	監
盖	蓋
盗	盜
盘	盤
眦	眥
着	著
睁	睜
睐	睞
睑	瞼
睾	睪
瞒	瞞
瞩	矚
矫	矯
矶	磯
矾	礬
矿	礦
码	碼
砖	磚
砗	硨
砚	硯
砺	礪
砾	礫
础	礎
硕	碩
确	確
碍	礙
碛	磧
碱	鹼
礼	禮
祎	禕
祕	秘
祢	禰
祯	禎
祷	禱
祸	禍
禀	稟
禄	祿
禅	禪
离	離
秃	禿
秆	稈
种	種
积	積
称	稱
秽	穢
税	稅
稣	穌
稳	穩
穷	窮
窃	竊
窍	竅
窑	窯
窜	竄
窝	窩
窥	窺
窦	竇
竖	豎
竞	競
笃	篤
笋	筍
笔	筆
笺	箋
笼	籠
筑	築
筛	篩
筝	箏
筹	籌
签	籤
简	簡
箩	籮
箫	簫
篑	簣
篓	簍
篮	籃
篱	籬
籁	籟
类	類
籼	秈
粤	粵
粪	糞
粮	糧
糍	餈
紧	緊
纔	才
纠	糾
红	紅
纣	紂
纤	纖
约	約
级	級
纨	紈
纪	紀
纫	紉
纬	緯
纭	紜
纯	純
纰	紕
纱	紗
纲	綱
纳	納
纵	縱
纶	綸
纷	紛
纸	紙
纹	紋
纺	紡
纽	紐
纾	紓
线	線
绀	紺
练	練
组	組
绅	紳
细	細
织	織
终	終
绊	絆
绍	紹
绎	繹
经	經
绑	綁
绒	絨
结	結
绔	絝
绕	繞
绘	繪
给	給
绚	絢
绛	絳
络	絡
绝	絕
绞	絞
统	統
绡	綃
绢	絹
绣	繡
绥	綏
绦	絛
继	繼
绩	績
绪	緒
绫	綾
续	續
绮	綺
绯	緋
绰	綽
绳	繩
维	維
绵	綿
绶	綬
绷	繃
绸	綢
绻	綣
综	綜
绽	綻
绾	綰
绿	綠
缀	綴
缄	緘
缅	緬
缆	纜
缇	緹
缈	緲
缉	緝
缎	緞
缓	緩
缔	締
缕	縷
编	編
缘	緣
缙	縉
缚	縛
缜	縝
缝	縫
缠	纏
缢	縊
缤	繽
缥	縹
缨	纓
缩	縮
缪	繆
缭	繚
缮	繕
缰	韁
缱	繾
缴	繳
罂	罌
网	網
罗	羅
罚	罰
罢	罷
羁	羈
羟	羥
羡	羨
翘	翹
耸	聳
耻	恥
聂	聶
聋	聾
职	職
联	聯
聪	聰
肃	肅
肠	腸
肤	膚
肮	骯
肴	餚
肾	腎
肿	腫
胀	脹
胁	脅
胆	膽
胜	勝
胧	朧
胫	脛
胶	膠
脉	脈
脍	膾
脏	髒
脐	臍
脑	腦
脓	膿
脚	腳
脣	唇
脱	脫
脸	臉
腊	臘
腌	醃
腭	顎
腻	膩
腼	靦
腾	騰
膑	臏
膻	羶
舆	輿
舰	艦
舱	艙
艰	艱
艳	豔
艺	藝
节	節
芈	羋
芜	蕪
芦	蘆
苁	蓯
苇	葦
苋	莧
苍	蒼
苏	蘇
苹	蘋
范	範
茎	莖
茏	蘢
茧	繭
荆	荊
荐	薦
荚	莢
荞	蕎
荟	薈
荠	薺
荡	蕩
荣	榮
荤	葷
荥	滎
荧	熒
荨	蕁
荪	蓀
荫	蔭
药	藥
莅	蒞
莱	萊
莲	蓮
莴	萵
获	獲
莹	瑩
莺	鶯
萝	蘿
萤	螢
营	營
萦	縈
萧	蕭
萨	薩
葱	蔥
蒋	蔣
蓝	藍
蓟	薊
蓦	驀
蔷	薔
蔺	藺
蔼	藹
蕲	蘄
蕴	蘊
藓	蘚
虏	虜
虑	慮
虚	虛
虫	蟲
虬	虯
虱	蝨
虽	雖
虾	蝦
蚀	蝕
蚁	蟻
蚂	螞
蚕	蠶
蚝	蠔
蛊	蠱
蛎	蠣
蛮	蠻
蛰	蟄
蛳	螄
蜕	蛻
蜗	蝸
蜡	蠟
蝇	蠅
蝈	蟈
蝉	蟬
蝎	蠍
蝼	螻
螨	蟎
衅	釁
衆	眾
衔	銜
补	補
衬	襯
衮	袞
袄	襖
袅	嫋
袜	襪
袭	襲
装	裝
裆	襠
裤	褲
见	見
观	觀
规	規
觅	覓
视	視
览	覽
觉	覺
觊	覬
觎	覦
觐	覲
觑	覷
觞	觴
触	觸
誉	譽
计	計
订	訂
认	認
讥	譏
讧	訌
讨	討
让	讓
讪	訕
讫	訖
训	訓
议	議
讯	訊
记	記
讲	講
讳	諱
讴	謳
讶	訝
讷	訥
许	許
讹	訛
论	論
讼	訟
讽	諷
设	設
访	訪
诀	訣
证	證
诃	訶
评	評
诅	詛
识	識
诈	詐
诉	訴
诊	診
诋	詆
词	詞
诏	詔
译	譯
试	試
诗	詩
诘	詰
诙	詼
诚	誠
诛	誅
话	話
诞	誕
诟	詬
诠	詮
诡	詭
询	詢
诣	詣
诤	諍
该	該
详	詳
诧	詫
诩	詡
诫	誡
诬	誣
语	語
误	誤
诰	誥
诱	誘
诲	誨
说	說
诵	誦
诶	誒
请	請
诸	諸
诺	諾
读	讀
诽	誹
课	課
诿	諉
谀	諛
谁	誰
调	調
谄	諂
谅	諒
谆	諄
谈	談
谊	誼
谋	謀
谌	諶
谍	諜
谎	謊
谏	諫
谐	諧
谑	謔
谒	謁
谓	謂
谔	諤
谕	諭
谗	讒
谘	諮
谙	諳
谚	諺
谛	諦
谜	謎
谟	謨
谢	謝
谣	謠
谤	謗
谥	諡
谦	謙
谧	謐
谨	謹
谩	謾
谪	謫
谬	謬
谭	譚
谯	譙
谱	譜
谲	譎
谴	譴
谶	讖
贝	貝
贞	貞
负	負
贡	貢
财	財
责	責
贤	賢
败	敗
账	賬
货	貨
质	質
贩	販
贪	貪
贫	貧
贬	貶
购	購
贮	貯
贯	貫
贰	貳
贱	賤
贲	賁
贴	貼
贵	貴
贷	貸
贸	貿
费	費
贺	賀
贻	貽
贼	賊
贾	賈
贿	賄
赁	賃
赂	賂
赃	贓
资	資
赅	賅
赈	賑
赊	賒
赋	賦
赌	賭
赎	贖
赏	賞
赐	賜
赓	賡
赔	賠
赖	賴
赘	贅
赚	賺
赛	賽
赝	贗
赞	贊
赠	贈
赡	贍
赢	贏
赣	贛
赵	趙
赶	趕
趋	趨
趸	躉
跃	躍
跄	蹌
跖	蹠
践	踐
跷	蹺
跹	躚
跻	躋
踊	踴
踌	躊
蹑	躡
蹒	蹣
蹿	躥
躏	躪
躯	軀
车	車
轧	軋
轨	軌
轩	軒
转	轉
轭	軛
轮	輪
软	軟
轰	轟
轲	軻
轴	軸
轶	軼
轻	輕
轼	軾
载	載
轿	轎
较	較
辄	輒
辅	輔
辆	輛
辇	輦
辈	輩
辉	輝
辊	輥
辍	輟
辐	輻
辑	輯
输	輸
辕	轅
辖	轄
辗	輾
辘	轆
辙	轍
辞	辭
辩	辯
辫	辮
边	邊
辽	遼
达	達
迁	遷
过	過
迈	邁
运	運
还	還
这	這
进	進
远	遠
违	違
连	連
迟	遲
迩	邇
迹	跡
适	適
选	選
逊	遜
递	遞
逻	邏
遗	遺
遥	遙
邓	鄧
邝	鄺
邬	鄔
邮	郵
邹	鄒
邺	鄴
邻	鄰
郁	鬱
郑	鄭
郦	酈
郧	鄖
郸	鄲
酝	醞
酱	醬
酿	釀
采	採
释	釋
里	裡
鉴	鑑
銮	鑾
针	針
钉	釘
钊	釗
钎	釺
钏	釧
钒	釩
钓	釣
钗	釵
钙	鈣
钛	鈦
钜	鉅
钝	鈍
钞	鈔
钟	鍾
钠	鈉
钡	鋇
钢	鋼
钣	鈑
钤	鈐
钥	鑰
钦	欽
钧	鈞
钨	鎢
钩	鉤
钮	鈕
钯	鈀
钰	鈺
钱	錢
钳	鉗
钴	鈷
钵	缽
钺	鉞
钻	鑽
钼	鉬
钾	鉀
钿	鈿
铀	鈾
铁	鐵
铂	鉑
铃	鈴
铄	鑠
铅	鉛
铆	鉚
铉	鉉
铎	鐸
铐	銬
铛	鐺
铜	銅
铝	鋁
铠	鎧
铡	鍘
铢	銖
铣	銑
铤	鋌
铨	銓
铩	鎩
铬	鉻
铭	銘
铮	錚
铰	鉸
铲	鏟
铵	銨
银	銀
铸	鑄
铺	鋪
链	鏈
铿	鏗
销	銷
锁	鎖
锂	鋰
锄	鋤
锅	鍋
锆	鋯
锈	鏽
锉	銼
锋	鋒
锌	鋅
锏	鐧
锐	銳
锑	銻
错	錯
锚	錨
锟	錕
锡	錫
锢	錮
锣	鑼
锤	錘
锥	錐
锦	錦
锭	錠
键	鍵
锯	鋸
锰	錳
锲	鍥
锵	鏘
锹	鍬
锺	鍾
锻	鍛
镀	鍍
镁	鎂
镂	鏤
镇	鎮
镉	鎘
镌	鐫
镍	鎳
镐	鎬
镑	鎊
镕	鎔
镖	鏢
镗	鏜
镛	鏞
镜	鏡
镣	鐐
镭	鐳
镯	鐲
镰	鐮
镳	鑣
镶	鑲
长	長
门	門
闪	閃
闫	閆
闭	閉
问	問
闯	闖
闰	閏
闲	閒
间	間
闵	閔
闷	悶
闸	閘
闹	鬧
闺	閨
闻	聞
闽	閩
闾	閭
阀	閥
阁	閣
阂	閡
阅	閱
阆	閬
阇	闍
阈	閾
阉	閹
阎	閻
阐	闡
阑	闌
阔	闊
阕	闋
阖	闔
阙	闕
阚	闞
队	隊
阳	陽
阴	陰
阵	陣
阶	階
际	際
陆	陸
陇	隴
陈	陳
陕	陝
陨	隕
险	險
随	隨
隐	隱
隶	隸
隽	雋
难	難
雇	僱
雏	雛
雳	靂
雾	霧
霁	霽
霉	黴
霭	靄
靓	靚
静	靜
靥	靨
鞑	韃
韦	韋
韧	韌
韩	韓
韬	韜
韵	韻
页	頁
顶	頂
顷	頃
项	項
顺	順
须	須
顼	頊
顽	頑
顾	顧
顿	頓
颁	頒
颂	頌
预	預
颅	顱
领	領
颇	頗
颈	頸
颉	頡
颊	頰
颌	頜
颍	潁
颐	頤
频	頻
颓	頹
颔	頷
颖	穎
颗	顆
题	題
颚	顎
颛	顓
颜	顏
额	額
颞	顳
颠	顛
颡	顙
颢	顥
颤	顫
颦	顰
颧	顴
风	風
飒	颯
飓	颶
飕	颼
飘	飄
飙	飆
飚	飈
飞	飛
飨	饗
饥	飢
饨	飩
饪	飪
饬	飭
饭	飯
饮	飲
饯	餞
饰	飾
饱	飽
饲	飼
饴	飴
饵	餌
饶	饒
饷	餉
饺	餃
饼	餅
饽	餑
饿	餓
馀	餘
馁	餒
馄	餛
馅	餡
馆	館
馈	饋
馋	饞
馍	饃
馏	餾
馒	饅
馔	饌
马	馬
驭	馭
驮	馱
驯	馴
驰	馳
驱	驅
驳	駁
驴	驢
驶	駛
驷	駟
驸	駙
驹	駒
驻	駐
驼	駝
驾	駕
驿	驛
骁	驍
骂	罵
骄	驕
骅	驊
骆	駱
骇	駭
骈	駢
骊	驪
骋	騁
验	驗
骏	駿
骐	騏
骑	騎
骗	騙
骚	騷
骛	騖
骜	驁
骞	騫
骠	驃
骡	騾
骤	驟
骥	驥
骧	驤
髅	髏
髋	髖
鬓	鬢
魇	魘
鱼	魚
鱿	魷
鲁	魯
鲈	鱸
鲍	鮑
鲑	鮭
鲛	鮫
鲜	鮮
鲟	鱘
鲢	鰱
鲤	鯉
鲨	鯊
鲫	鯽
鲱	鯡
鲲	鯤
鲶	鯰
鲷	鯛
鲸	鯨
鳃	鰓
鳄	鱷
鳅	鰍
鳌	鰲
鳍	鰭
鳕	鱈
鳖	鱉
鳗	鰻
鳝	鱔
鳞	鱗
鸟	鳥
鸠	鳩
鸡	雞
鸢	鳶
鸣	鳴
鸥	鷗
鸦	鴉
鸨	鴇
鸪	鴣
鸭	鴨
鸯	鴦
鸳	鴛
鸵	鴕
鸽	鴿
鸾	鸞
鸿	鴻
鹂	鸝
鹃	鵑
鹄	鵠
鹅	鵝
鹈	鵜
鹉	鵡
鹊	鵲
鹌	鵪
鹏	鵬
鹑	鶉
鹕	鶘
鹘	鶻
鹜	鶩
鹞	鷂
鹤	鶴
鹦	鸚
鹧	鷓
鹫	鷲
鹭	鷺
鹰	鷹
鹳	鸛
麦	麥
麸	麩
麺	麵
麽	麼
黄	黃
鼋	黿
鼹	鼴
齐	齊
齿	齒
龄	齡
龅	齙
龈	齦
龊	齪
龋	齲
龌	齷
龙	龍
龚	龔
龛	龕
龟	龜
